ARC,TYPE,DESCENT,LINE,REND,FROM,TO
CRA001,child,nonlineal,central,red,CRN001,CRN002
CRA003,child,nonlineal,central,brown,CRN001,CRN003
CRA002,child,lineal,central,red,CRN001,CRN006
CRA001,child,nonlineal,central,red,CRN001,CRN002
CRA003,child,nonlineal,central,brown,CRN001,CRN003
CRA006,child,nonlineal,central,brown,CRN003,CRN004
CRA007,child,nonlineal,central,brown,CRN004,CRN005
CRA006,child,nonlineal,central,brown,CRN003,CRN004
CRA007,child,nonlineal,central,brown,CRN004,CRN005
CRA005,child,lineal,central,red,CRN006,CRN091
CRA004,child,lineal,japhet,green,CRN006,CRN007
CRA002,child,lineal,central,red,CRN001,CRN006
CRA004,child,lineal,japhet,green,CRN006,CRN007
CRA008,child,lineal,japhet,green,CRN007,CRN008
CRA008,child,lineal,japhet,green,CRN007,CRN008
CRA009,child,lineal,japhet,green,CRN008,CRN009
CRA010,child,lineal,japhet,green,CRN009,CRN010
CRA009,child,lineal,japhet,green,CRN008,CRN009
CRA011,child,lineal,japhet,green,CRN010,CRN011
CRA010,child,lineal,japhet,green,CRN009,CRN010
CRA012,child,lineal,japhet,green,CRN011,CRN012
CRA011,child,lineal,japhet,green,CRN010,CRN011
CRA012,child,lineal,japhet,green,CRN011,CRN012
CRA013,child,lineal,japhet,green,CRN012,CRN013
CRA014,child,lineal,japhet,green,CRN013,CRN014
CRA013,child,lineal,japhet,green,CRN012,CRN013
CRA015,child,nonlineal,japhet,blue,CRN014,CRN015
CRA016,child,nonlineal,japhet,green,CRN014,CRN016
CRA021,child,lineal,japhet,green,CRN014,CRN021
CRA018,child,nonlineal,japhet,blue,CRN014,CRN018
CRA014,child,lineal,japhet,green,CRN013,CRN014
CRA022,child,nonlineal,japhet,blue,CRN014,CRN022
CRA020,child,nonlineal,japhet,red,CRN014,CRN020
CRA017,child,nonlineal,japhet,red,CRN014,CRN017
CRA019,child,nonlineal,japhet,brown,CRN014,CRN019
CRA023,child,nonlineal,japhet,red,CRN014,CRN023
CRA015,child,nonlineal,japhet,blue,CRN014,CRN015
CRA016,child,nonlineal,japhet,green,CRN014,CRN016
CRA017,child,nonlineal,japhet,red,CRN014,CRN017
CRA018,child,nonlineal,japhet,blue,CRN014,CRN018
CRA019,child,nonlineal,japhet,brown,CRN014,CRN019
CRA020,child,nonlineal,japhet,red,CRN014,CRN020
CRA021,child,lineal,japhet,green,CRN014,CRN021
CRA024,child,lineal,japhet,green,CRN021,CRN024
CRA022,child,nonlineal,japhet,blue,CRN014,CRN022
CRA023,child,nonlineal,japhet,red,CRN014,CRN023
