ROUNDEL,LINE,TRANSCRIPTION,TRANSLATION,HAND
CRN001,#1,"[Image of a ship], [Noah]","[Image of a ship], [Noah]",Lancastrian Scribe
CRN002,#1,Sem,Shem,Lancastrian Scribe
CRN003,#1,Cham,Ham,Lancastrian Scribe
CRN004,#1,Chus,Cush,Lancastrian Scribe
CRN005,#1,Nemroth,Nimrod,Lancastrian Scribe
CRN006,#1,Japhet,Japhet,Lancastrian Scribe
CRN007,#1,Strephus,Strephus,Lancastrian Scribe
CRN008,#1,Bedegius,Bedegius,Lancastrian Scribe
CRN009,#1,Gnala,Gnala,Lancastrian Scribe
CRN010,#1,Kadra,Kadra,Lancastrian Scribe
CRN011,#1,Sternodius,Sternodius,Lancastrian Scribe
CRN012,#1,Steph,Steph,Lancastrian Scribe
CRN013,#1,Steldius,Steldius,Lancastrian Scribe
CRN014,#1,Boerinus,Boerin,Lancastrian Scribe
CRN015,#1,Cinrincius,Cinrincius,Lancastrian Scribe
CRN016,#1,Gothus,Gothus,Lancastrian Scribe
CRN017,#1,Iutus,Jutus,Lancastrian Scribe
CRN018,#1-2,Wandalus,Vandalus,Lancastrian Scribe
CRN019,#1,Thetus,Thetus,Lancastrian Scribe
CRN020,#1,Fresus,Fresus,Lancastrian Scribe
CRN021,#1-2,Suethedus,Suethedus,Lancastrian Scribe
CRN022,#1,Dachus,Dachus,Lancastrian Scribe
CRN023,#1,Geate,Geate,Lancastrian Scribe
CRN024,#1,Godulphus,Godulphus,Lancastrian Scribe
CRN025,#1,Finnius,Finnius,Lancastrian Scribe
CRN026,#1-2,Fridalasius,Fridalasius,Lancastrian Scribe
CRN027,#1-2,Fridewaldus,Fridewaldus,Lancastrian Scribe
CRN028,#1,Godenus,Godenus,Lancastrian Scribe
CRN029,#1-2,Beldegius,Beldegius,Lancastrian Scribe
CRN030,#1-2,Beymundus,Beymundus,Lancastrian Scribe
CRN031,#1-2,Fridegarius,Fridegarius,Lancastrian Scribe
CRN032,#1-2,Fridewynus,Fridewynus,Lancastrian Scribe
CRN033,#1,Winegius,Winegius,Lancastrian Scribe
CRN034,#1,Gywis,Gywis,Lancastrian Scribe
CRN035,#1,Eslius,Eslius,Lancastrian Scribe
CRN036,#1,Elesius,Elesius,Lancastrian Scribe
CRN037,#1,Cerdius,Cerdius,Lancastrian Scribe
CRN038,#1,Cealinus,Cealinus,Lancastrian Scribe
CRN039,#1,Guda,Guda,Lancastrian Scribe
CRN040,#1,Gewaldus,Gewaldus,Lancastrian Scribe
CRN041,#1,Kenardus,Kenardus,Lancastrian Scribe
CRN042,#1,Ingils,Ingils,Lancastrian Scribe
CRN043,#1,Orpa,Orpa,Lancastrian Scribe
CRN044,#1,Caphe,Caphe,Lancastrian Scribe
CRN045,#1-2,Jetha et Geatha,Jetha and Geatha,Lancastrian Scribe
CRN046,#1-2,Flocwalet Folcwall,Flocwall and Folcwall,Lancastrian Scribe
CRN047,#1,Fynn,Fynn,Lancastrian Scribe
CRN048,#1,Fredulf,Fredulf,Lancastrian Scribe
CRN049,#1,Woden,Woden,Lancastrian Scribe
CRN050,#1,Frealaf,Frealaff,Lancastrian Scribe
CRN051,#1,Vecta,Vecta,Lancastrian Scribe
CRN052,#1,Victa,Victa,Lancastrian Scribe
CRN053,#1,Widgils,Widgils,Lancastrian Scribe
CRN054,#1,Kantia,Kent,Lancastrian Scribe
CRN055,#1,Wepedag,Wepedag,Lancastrian Scribe
CRN056,#1,Sigegeag,Sigegeag,Lancastrian Scribe
CRN057,#1,Seablad,Seablad,Lancastrian Scribe
CRN058,#1,Sesugill,Sesugill,Lancastrian Scribe
CRN059,#1,Westreflacna,Westreflacna,Lancastrian Scribe
CRN060,#1,Witgils,Witgils,Lancastrian Scribe
CRN061,#1,Uskfrea,Uskfrea,Lancastrian Scribe
CRN062,#1-2,East Anglia,East Anglia,Lancastrian Scribe
CRN063,#1,Widat,Widat,Lancastrian Scribe
CRN064,#1,Weremund,Weremund,Lancastrian Scribe
CRN065,#1,Offa,Offa,Lancastrian Scribe
CRN066,#1,Angelthen,Angelthen,Lancastrian Scribe
CRN067,#1,Comer,Comer,Lancastrian Scribe
CRN068,#1,Yall,Yall,Lancastrian Scribe
CRN069,#1,Kniwa,Kniwa,Lancastrian Scribe
CRN070,#1,Singwald,Singwald,Lancastrian Scribe
CRN071,#1-2,Northumbria,Northumbria,Lancastrian Scribe
CRN072,#1-2,Merciorum,[Kingdom of the] Mercians,Lancastrian Scribe
CRN073,#1,Saxnad,Saxony,Lancastrian Scribe
CRN074,#1,Andesk,Andesk,Lancastrian Scribe
CRN075,#1,Gefat,Gefat,Lancastrian Scribe
CRN076,#1,Spezwe,Spezwe,Lancastrian Scribe
CRN077,#1,Sigewolf,Sigewolf,Lancastrian Scribe
CRN078,#1,Reidkan,Reidkan,Lancastrian Scribe
CRN079,#1,Offe,Offe,Lancastrian Scribe
CRN080,#12,Est Sea,Essex,Lancastrian Scribe
CRN081,#1,Beldec,Beldec,Lancastrian Scribe
CRN082,#1,Brand,Brand,Lancastrian Scribe
CRN083,#1,Beonok,Benok,Lancastrian Scribe
CRN084,#1,Alek,Alek,Lancastrian Scribe
CRN085,#1,Angenwyt,Angenwyt,Lancastrian Scribe
CRN086,#1,Ingwyn,Ingwyn,Lancastrian Scribe
CRN087,#1,Esee,Esee,Lancastrian Scribe
CRN088,#1,Gorpe,Gorpe,Lancastrian Scribe
CRN089,#1-2,West Sea,Wessex,Lancastrian Scribe
CRN090,#1-2,Jenan vel Janan,Jenan or Janan,Lancastrian Scribe
CRN091,#1-2,South Sea,Sussex,Lancastrian Scribe
CRN092,#1,Cethnius,Cethis,Lancastrian Scribe
CRN093,#1,Ciprius,Cyprus,Lancastrian Scribe
CRN094,#1,Cretus,Cretus,Lancastrian Scribe
CRN095,#1,Celinus,Celius,Lancastrian Scribe
CRN096,#1,Saturnus,Saturn,Lancastrian Scribe
CRN097,#1,Jupiter,Jupiter,Lancastrian Scribe
CRN098,#1,Dardanus,Dardanus,Lancastrian Scribe
CRN099,#1,Erictonius,Erictonius,Lancastrian Scribe
CRN100,#1,Troius,Trojus,Lancastrian Scribe
CRN101,#1,Ilius,Ilus,Lancastrian Scribe
CRN102,#1,Lamedon,Lamedon,Lancastrian Scribe
CRN103,#1,Priamus,Priam,Lancastrian Scribe
CRN104,#1,Hector,Hector,Lancastrian Scribe
CRN105,#1,Assaracus,Assaracus,Lancastrian Scribe
CRN106,#1,Capis,Capis,Lancastrian Scribe
CRN107,#1,Anchises,Anchises,Lancastrian Scribe
CRN108,#1,Eneas,Aeneas,Lancastrian Scribe
CRN109,#1-2,Silvius posthumus,Silvius Posthumous,Lancastrian Scribe
CRN110,#1,Latinus,Latinus,Lancastrian Scribe
CRN111,#1,Alban,Alban,Lancastrian Scribe
CRN112,#1-4,Et sic usque ad Remum et Romulum,And thus up to Remus and Romulus,Lancastrian Scribe
CRN113,#1,Ascanius,Ascanius,Lancastrian Scribe
CRN114,#1,Silvius,Silvius,Lancastrian Scribe
CRN115,#1,Brutus,Brutus,Lancastrian Scribe
CRN116,#1-2,Albanactus,Albanactus,Lancastrian Scribe
CRN117,#1-2,Kambrius,Cambrius,Lancastrian Scribe
CRN118,#1-2,Gormoniaun,Gormoniaun,Lancastrian Scribe
CRN119,#1-2,Dunwalheon,Dunwalheon,Lancastrian Scribe
CRN120,#1,Morganus,Morgan,Lancastrian Scribe
CRN121,#1-2,Belymaure,Belymaure,Lancastrian Scribe
CRN122,#1,Lud,Lud,Lancastrian Scribe
CRN123,#1,Aveleth,Aveleth,Lancastrian Scribe
CRN124,#1,Avelath,Avelath,Lancastrian Scribe
CRN125,#1,Eudolen,Eudolen,Lancastrian Scribe
CRN126,#1,Eudos,Eudos,Lancastrian Scribe
CRN127,#1,Cunic,Cunic,Lancastrian Scribe
CRN128,#1,Gudeyrn,Gudeyrn,Lancastrian Scribe
CRN129,#1,Rydern,Rydern,Lancastrian Scribe
CRN130,#1,Grade,Grade,Lancastrian Scribe
CRN131,#1,Urban,Urban,Lancastrian Scribe
CRN132,#1,Tyntyll,Tyntyll,Lancastrian Scribe
CRN133,#1,Dehewynt,Dehewynt,Lancastrian Scribe
CRN134,#1,Tecuan,Tecuan,Lancastrian Scribe
CRN135,#1-2,ChoyGodabanc,Choyn Godabanc,Lancastrian Scribe
CRN136,#1,Kenen,Kenen,Lancastrian Scribe
CRN137,#1-2,Padern paysruth,Padern paysruth,Lancastrian Scribe
CRN138,#1,Gedeyn,Gedeyn,Lancastrian Scribe
CRN139,#1-2,Cunnedarledic,Cunn edarledic,Lancastrian Scribe
CRN140,#1-2,Eynann Yrth,Eynann Yrth,Lancastrian Scribe
CRN141,#1-2,Kadwallauhyr,Kadwallauhyr,Lancastrian Scribe
CRN142,#1,Maylgo,Malgo,Lancastrian Scribe
CRN143,#1-2,Maylgo Magnus,Malgo the Great,Lancastrian Scribe
CRN145,#1,Run,Run,Lancastrian Scribe
