LOCATION,CRL,MARL,NAME_CR,NAME_MAR,NAME_ENGLISH,IN_ROUNDEL,IN_COMMENTARY
L001,CRL001,N/A,Asia,N/A,Asia,N/A,CRC001
L002,CRL002,N/A,Affrica,N/A,Africa,N/A,"CRC044, CRC030, CRC001"
L003,CRL003,N/A,Europa,N/A,Europe,N/A,"CRC001, CRC003"
L004,CRL004,N/A,Ataxa,N/A,Ataxa,N/A,CRC001
L005,CRL005,N/A,Indius,N/A,India,N/A,"MARC004, CRC006, CRC001"
L006,CRL006,N/A,Sartia,N/A,Sartia,N/A,CRC001
L007,CRL007,N/A,Siria,N/A,Syria,N/A,CRC001
L008,CRL008,N/A,Percia,N/A,Persia,N/A,CRC001
L009,CRL009,N/A,Medea,N/A,Medea,N/A,CRC001
L010,CRL010,N/A,Mesopotamia,N/A,Mesopotamia,N/A,CRC001
L011,CRL011,N/A,Capadocia,N/A,Cappadocia,N/A,CRC001
L012,CRL012,N/A,Palestine,N/A,Palestina,N/A,CRC001
L013,CRL013,N/A,Armenia,N/A,Armenia,N/A,CRC001
L014,CRL014,N/A,Cilicia,N/A,Cilicia,N/A,CRC001
L015,CRL015,N/A,Egyptus,N/A,Egypt,N/A,CRC001
L016,CRL016,N/A,Caldea,N/A,Calde,N/A,CRC001
L017,CRL017,N/A,Libia,N/A,Libya,N/A,CRC001
L018,CRL018,N/A,Lidia,N/A,Lydia,N/A,CRC001
L019,CRL019,N/A,Smynia,N/A,Smynia,N/A,CRC001
L020,CRL020,N/A,Pentapolis,N/A,Pentapolis,N/A,CRC001
L021,CRL021,N/A,Ethiopia,N/A,Ethiopia,N/A,CRC001
L022,CRL022,N/A,Tolomaia,N/A,Tolomaia,N/A,CRC001
L023,CRL023,N/A,Lessentium,N/A,Lessentium,N/A,CRC001
L024,CRL024,N/A,Jetall,N/A,Jetall,N/A,CRC001
L025,CRL025,N/A,Matalia,N/A,Matalia,N/A,CRC001
L026,CRL026,N/A,Nubidia,N/A,Numidia,N/A,CRC001
L027,CRL027,N/A,Samartia,N/A,Samartia,N/A,CRC001
L028,CRL028,N/A,Siirdos Maiores,N/A,Siirdos Major,N/A,CRC001
L029,CRL029,N/A,[Siirdos] Minores,N/A,[Siirdos] Minor,N/A,CRC001
L030,CRL030,N/A,Italia,N/A,Italy,N/A,"CRC014, CRC021, CRC010, CRC001, CRC033, CRC044"
L031,CRL031,N/A,Calabria,N/A,Calabria,N/A,CRC001
L032,CRL032,N/A,Hispania,N/A,Spain,N/A,"CRC124, CRC001, CRC132, CRC034"
L033,CRL033,N/A,Almania,N/A,Almania,N/A,CRC001
L034,CRL034,N/A,Macedonia,N/A,Macedonia,N/A,CRC001
L035,CRL035,N/A,Tracedones,N/A,Tracedones,N/A,CRC001
L036,CRL036,N/A,Dalmacia [Wall: Salmatia],N/A,Dalmacia,N/A,CRC001
L037,CRL037,N/A,Pannonia,N/A,Dannonia,N/A,CRC001
L038,CRL038,N/A,Colonia,N/A,Colonia,N/A,CRC001
L039,CRL039,N/A,Germania,N/A,Germany,N/A,CRC001
L040,CRL040,N/A,Gallia,N/A,Gaul,N/A,CRC001
L041,CRL041,N/A,Britannia,N/A,Britain,N/A,"CRC081, CRC013, CRC072, CRC062, CRC066, CRC001, CRC022, CRC063, CRC030, CRC014"
L042,CRL042,N/A,Hibernia,N/A,Hibernia,N/A,CRC001
L043,CRL043,N/A,Septentrionalia,N/A,Septentrionalia,N/A,CRC001
L044,CRL044,N/A,Grecia,N/A,Greece,N/A,CRC014
L045,CRL045,N/A,Scotia,N/A,Scotland,N/A,"CRC111, CRC030, CRC098, CRC014"
L046,CRL046,N/A,"Anglie, Engelond [CRC084]",N/A,England,N/A,"CRC129, CRC075, CRC134, CRC127, CRC073, CRC132, CRC084, CRC121, CRC131, CRC128, CRC133, CRC066"
L047,CRL048,N/A,Norwagia,N/A,Norway,N/A,CRC072
L048,CRL049,N/A,Francie,N/A,France,N/A,"CRC132, CRC127, CRC129, CRC131, CRC134, CRC128"
L049,CRL051,MARL049,Troia,Troia,Troy,N/A,"CRC006, MARC004, CRC010, CRC007, MARC002, MARC001, MARC003"
L050,CRL052,N/A,Turronis,N/A,Tours,N/A,CRC014
L051,CRL053,N/A,Nova Troia,N/A,New Troy,N/A,CRC014
L052,CRL054,N/A,Londonium,N/A,London,N/A,"CRC134, CRC033, CRC075, CRC053, CRC068, CRC014, CRC057, CRC121"
L053,CRL055,N/A,Eboracum,N/A,York,N/A,"CRC018, CRC053, CRC039, CRC134, CRC123"
L054,CRL055,N/A,Ebor[acum],N/A,York,N/A,"CRC134, CRC053, CRC123, CRC039, CRC018"
L055,CRL056,N/A,Edinbr[u]th,N/A,Edinburgh,N/A,CRC018
L056,CRL056,N/A,Edinbrth,N/A,Edinburgh,N/A,CRC018
L057,CRL057,N/A,Notyngham,N/A,Nottingham,N/A,"CRC097, CRC018"
L058,CRL057,N/A,Notyngham,N/A,Nottingham,N/A,"CRC097, CRC018"
L059,CRL058,N/A,Karleil,N/A,Carlisle,N/A,CRC019
L060,CRL058,N/A,Karleil,N/A,Carlisle,N/A,CRC019
L061,CRL059,N/A,cant[uaria],N/A,Canterbury,N/A,"CRC075, CRC020"
L062,CRL059,N/A,Cantuar[ia],N/A,Canterbury,N/A,"CRC075, CRC020"
L063,CRL060,N/A,Wyntonia,N/A,Winchester,N/A,"CRC070, CRC079, CRC020, CRC069"
L064,CRL060,N/A,Wynton[ia],N/A,Winchester,N/A,"CRC069, CRC079, CRC020, CRC070"
L065,CRL061,N/A,Sephton,N/A,Shaftesbury,N/A,CRC020
L066,CRL061,N/A,Sephton,N/A,Shaftesbury,N/A,CRC020
L067,CRL062,N/A,Roma,N/A,Rome,N/A,"CRC081, CRC025, CRC033, CRC062, CRC072, CRC021"
L068,CRL062,N/A,Roma,N/A,Rome,N/A,"CRC021, CRC062, CRC072, CRC033, CRC025, CRC081"
L069,CRL063,N/A,Batonia,N/A,Bath,N/A,CRC022
L070,CRL064,N/A,"[1] Trinovantum, [2] Ternovanter",N/A,Trinovantum,N/A,"CRC022, CRC046, CRC047"
L071,CRL065,N/A,"[1] Leycestria, [2] Lecestrie",N/A,Leicester,N/A,"CRC063, CRC023, CRC097"
L072,CRL066,N/A,Kaerusk,N/A,Caerleon,N/A,CRC033
L073,CRL067,N/A,Urbs Legionum,N/A,City of Legions,N/A,"CRC033, CRC072, CRC053"
L074,CRL068,N/A,Aclud,N/A,Dumbarton,N/A,CRC039
L075,CRL069,N/A,Kaerlud,N/A,Kaerlud,N/A,CRC047
L076,CRL070,N/A,Lundene,N/A,Ludene,N/A,CRC047
L077,CRL071,N/A,Porcestr[e],N/A,Porchester,N/A,CRC050
L078,CRL072,N/A,Hampton,N/A,Hampton,N/A,CRC050
L079,CRL073,N/A,Claudiocest[rium],N/A,Claudiocester,N/A,CRC050
L080,CRL074,N/A,Colocestria,N/A,Colchester,N/A,CRC059
L081,CRL075,N/A,Constantinopoli,N/A,Constantinople,N/A,CRC060
L082,CRL076,N/A,Aelestrem,N/A,Aylesford,N/A,CRC063
