LOCATION,IN_COMMENTARY
L001,CRC001
L002,CRC044
L002,CRC001
L002,CRC030
L003,CRC001
L003,CRC003
L004,CRC001
L005,MARC004
L005,CRC001
L005,CRC006
L006,CRC001
L007,CRC001
L008,CRC001
L009,CRC001
L010,CRC001
L011,CRC001
L012,CRC001
L013,CRC001
L014,CRC001
L015,CRC001
L016,CRC001
L017,CRC001
L018,CRC001
L019,CRC001
L020,CRC001
L021,CRC001
L022,CRC001
L023,CRC001
L024,CRC001
L025,CRC001
L026,CRC001
L027,CRC001
L028,CRC001
L029,CRC001
L030,CRC044
L030,CRC014
L030,CRC001
L030,CRC021
L030,CRC033
L030,CRC010
L031,CRC001
L032,CRC124
L032,CRC132
L032,CRC001
L032,CRC034
L033,CRC001
L034,CRC001
L035,CRC001
L036,CRC001
L037,CRC001
L038,CRC001
L039,CRC001
L040,CRC001
L041,CRC030
L041,CRC063
L041,CRC066
L041,CRC062
L041,CRC014
L041,CRC072
L041,CRC001
L041,CRC081
L041,CRC022
L041,CRC013
L042,CRC001
L043,CRC001
L044,CRC014
L045,CRC014
L045,CRC098
L045,CRC030
L045,CRC111
L046,CRC066
L046,CRC133
L046,CRC128
L046,CRC131
L046,CRC121
L046,CRC084
L046,CRC132
L046,CRC073
L046,CRC127
L046,CRC129
L046,CRC075
L046,CRC134
L047,CRC072
L048,CRC127
L048,CRC132
L048,CRC134
L048,CRC129
L048,CRC128
L048,CRC131
L049,MARC002
L049,MARC003
L049,MARC001
L049,MARC004
L049,CRC006
L049,CRC007
L049,CRC010
L050,CRC014
L051,CRC014
L052,CRC068
L052,CRC014
L052,CRC075
L052,CRC033
L052,CRC121
L052,CRC053
L052,CRC057
L052,CRC134
L053,CRC039
L053,CRC123
L053,CRC053
L053,CRC018
L053,CRC134
L054,CRC039
L054,CRC018
L054,CRC123
L054,CRC053
L054,CRC134
L055,CRC018
L056,CRC018
L057,CRC018
L057,CRC097
L058,CRC097
L058,CRC018
L059,CRC019
L060,CRC019
L061,CRC020
L061,CRC075
L062,CRC075
L062,CRC020
L063,CRC069
L063,CRC079
L063,CRC070
L063,CRC020
L064,CRC070
L064,CRC020
L064,CRC069
L064,CRC079
L065,CRC020
L066,CRC020
L067,CRC033
L067,CRC081
L067,CRC072
L067,CRC062
L067,CRC025
L067,CRC021
L068,CRC081
L068,CRC062
L068,CRC033
L068,CRC025
L068,CRC021
L068,CRC072
L069,CRC022
L070,CRC046
L070,CRC022
L070,CRC047
L071,CRC097
L071,CRC063
L071,CRC023
L072,CRC033
L073,CRC072
L073,CRC033
L073,CRC053
L074,CRC039
L075,CRC047
L076,CRC047
L077,CRC050
L078,CRC050
L079,CRC050
L080,CRC059
L081,CRC060
L082,CRC063
L083,CRC069
L083,CRC070
L084,CRC071
L085,CRC072
L085,CRC033
L086,CRC075
L087,CRC121
L088,CRC121
L090,CRC127
L091,CRC133
L092,CRC001
L093,CRC072
L093,CRC071
L093,CRC023
L093,CRC058
L093,CRC032
L093,CRC014
L093,CRC031
L094,CRC017
L095,CRC068
L095,CRC044
L095,CRC063
L095,CRC066
L096,CRC072
L096,CRC063
L096,CRC079
L097,CRC063
L098,CRC072
L099,CRC123
L099,CRC134
L099,CRC132
L099,CRC133
L100,CRC133
L101,CRC133
L102,CRC014
L102,CRC032
L102,CRC033
L102,CRC025
L102,CRC031
L103,CRC025
L104,CRC014
L105,CRC032
L105,CRC031
L105,CRC050
L106,CRC121
L106,CRC014
L106,CRC125
L106,CRC126
L107,CRC023
L107,CRC032
L107,CRC055
L107,CRC031
L107,CRC030
L107,CRC051
L108,CRC001
L109,CRC004
L110,CRC014
L111,CRC079
L112,CRC121
L113,CRC014
L114,CRC005
L115,MARC004
L115,CRC006
L116,MARC004
L116,CRC006
L117,CRC011
L118,CRC014
L119,CRC014
L120,CRC030
L121,CRC033
L122,CRC051
L122,CRC033
L123,CRC050
L124,CRC051
L127,CRC062
L128,CRC063
L128,CRC074
L128,CRC068
L128,CRC075
L129,CRC063
L130,CRC063
L131,CRC063
L131,CRC095
L132,CRC063
L132,CRC082
L133,CRC063
L134,CRC063
L134,CRC055
L134,CRC114
L134,CRC097
L135,CRC063
L136,CRC063
L137,CRC063
L138,CRC063
L139,CRC063
L140,CRC063
L141,CRC063
L142,CRC063
L143,CRC063
L143,CRC066
L144,CRC063
L145,CRC068
L146,CRC068
L147,CRC069
L147,CRC070
L148,CRC071
L149,CRC072
L150,CRC072
L151,CRC072
L152,CRC072
L153,CRC072
L154,CRC073
L155,CRC066
L156,CRC001
L157,CRC014
L158,CRC018
L159,CRC019
L160,CRC022
L161,CRC050
L162,CRC069
L162,CRC070
L163,CRC075
L164,CRC080
L165,CRC121
L166,CRC121
L167,CRC121
L168,CRC033
L169,CRC047
L170,CRC011
L171,CRC014
L172,CRC014
L173,CRC018
L174,CRC018
L175,CRC023
L176,CRC030
L177,CRC030
L179,CRC033
L180,CRC044
L181,CRC044
L182,CRC068
L183,CRC069
L183,CRC070
L184,CRC069
L184,CRC070
L185,CRC069
L185,CRC070
L186,CRC070
L186,CRC069
L187,CRC031
L187,CRC013
L187,CRC014
L188,CRC057
L189,CRC004
L191,CRC097
L191,CRC100
L191,CRC072
L191,CRC104
L192,CRC067
L193,CRC044
L194,CRC127
L194,CRC118
L195,CRC097
