PERSON,CRP,MARP,NAME_CR,NAME_MAR,NAME_ENGLISH,IN_ROUNDEL,IN_COMMENTARY,COMMENT
P001,CRP005,N/A,[Noah],Noe,Noah,CRN001,"CRC001, CRC003",N/A
P002,CRP006,N/A,Sem,N/A,Shem,CRN002,CRC001,N/A
P003,CRP007,N/A,Cham,N/A,Ham,CRN003,"CRC001, CRC003, CRC002",N/A
P004,CRP008,N/A,Chus,N/A,Cush,CRN004,N/A,N/A
P005,CRP009,N/A,Nemroth,N/A,Nimrod,CRN005,CRC001,N/A
P006,CRP010,N/A,Japhet,N/A,Japhet,CRN006,"CRC003, CRC002, CRC001",N/A
P007,CRP011,N/A,Strephus,N/A,Strephus,CRN007,CRC002,N/A
P008,CRP012,N/A,Bedegius,N/A,Bedegius,CRN008,N/A,N/A
P009,CRP013,N/A,Gnala,N/A,Gnala,CRN009,N/A,N/A
P010,CRP014,N/A,Kadra,N/A,Kadra,CRN010,N/A,N/A
P011,CRP015,N/A,Sternodius,N/A,Sternodius,CRN011,N/A,N/A
P012,CRP016,N/A,Steph,N/A,Steph,CRN012,N/A,N/A
P013,CRP017,N/A,Steldius,N/A,Steldius,CRN013,CRC009,N/A
P014,CRP018,N/A,Boerinus,N/A,Boerin,CRN014,"CRC015, CRC009",N/A
P015,CRP019,N/A,Cinrincius,N/A,Cinrincius,CRN015,CRC015,N/A
P016,CRP020,N/A,Gothus,N/A,Gothus,CRN016,CRC015,N/A
P017,CRP021,N/A,Iutus,N/A,Jutus,CRN017,CRC015,N/A
P018,CRP022,N/A,Wandalus,N/A,Vandalus,CRN018,CRC015,N/A
P019,CRP023,N/A,Thetus,N/A,Thetus,CRN019,CRC015,N/A
P020,CRP024,N/A,Fresus,N/A,Fresus,CRN020,CRC015,N/A
P021,CRP025,N/A,Suethedus,N/A,Suethedus,CRN021,CRC015,N/A
P022,CRP026,N/A,Dachus,N/A,Dachus,CRN022,CRC015,N/A
P023,CRP027,N/A,Geate,N/A,Geate,CRN023,CRC015,N/A
P024,CRP028,N/A,Godulphus,N/A,Godulphus,CRN024,CRC015,N/A
P025,CRP029,N/A,Finnius,N/A,Finnius,CRN025,N/A,N/A
P026,CRP030,N/A,Fridalasius,N/A,Fridalasius,CRN026,N/A,N/A
P027,CRP031,N/A,Fridewaldus,N/A,Fridewaldus,CRN027,N/A,N/A
P028,CRP032,N/A,Godenus,N/A,Godenus,CRN028,N/A,N/A
P029,CRP033,N/A,Beldegius,N/A,Beldegius,CRN029,N/A,N/A
P030,CRP034,N/A,Beymundus,N/A,Beymundus,CRN030,N/A,N/A
P031,CRP035,N/A,Fridegarius,N/A,Fridegarius,CRN031,N/A,N/A
P032,CRP036,N/A,Fridewynus,N/A,Fridewynus,CRN032,N/A,N/A
P033,CRP037,N/A,Winegius,N/A,Winegius,CRN033,N/A,N/A
P034,CRP038,N/A,Gywis,N/A,Gywis,CRN034,N/A,N/A
P035,CRP039,N/A,Eslius,N/A,Eslius,CRN035,N/A,N/A
P036,CRP040,N/A,Elesius,N/A,Elesius,CRN036,N/A,N/A
P037,CRP041,N/A,Cerdius,N/A,Cerdius,CRN037,N/A,N/A
P038,CRP042,N/A,Cealinus,N/A,Cealinus,CRN038,CRC044,N/A
P039,CRP043,N/A,Guda,N/A,Guda,CRN039,N/A,N/A
P040,CRP044,N/A,Gewaldus,N/A,Gewaldus,CRN040,N/A,N/A
P041,CRP045,N/A,Kenardus,N/A,Kenardus,CRN041,N/A,N/A
P042,CRP046,N/A,Ingils,N/A,Ingils,CRN042,N/A,N/A
P043,CRP047,N/A,Orpa,N/A,Orpa,CRN043,N/A,N/A
P044,CRP048,N/A,Caphe,N/A,Caphe,CRN044,N/A,N/A
P045,CRP049,N/A,Jetha,N/A,Jetha,CRN045,CRC052,N/A
P046,CRP050,N/A,Flocwall,N/A,Flocwall,CRN046,N/A,N/A
P047,CRP465,N/A,Flocwall,N/A,Flocwall,CRN046,N/A,N/A
P048,CRP051,N/A,Fynn,N/A,Fynn,CRN047,N/A,N/A
P049,CRP052,N/A,Fredulf,N/A,Fredulf,CRN048,N/A,N/A
P050,CRP053,N/A,Woden,N/A,Woden,CRN049,"CRC083, CRC065",N/A
P051,CRP054,N/A,Frealaf,N/A,Frealaff,CRN050,CRC065,N/A
P052,CRP055,N/A,Vecta,N/A,Vecta,CRN051,N/A,N/A
P053,CRP056,N/A,Victa,N/A,Victa,CRN052,N/A,N/A
P054,CRP057,N/A,Widgils,N/A,Widgils,CRN053,N/A,N/A
P055,CRP058,N/A,Rivallo,N/A,Riwallo,CRN199,N/A,N/A
P056,CRP059,N/A,Wepedag,N/A,Wepedag,CRN055,N/A,N/A
P057,CRP060,N/A,Sigegeag,N/A,Sigegeag,CRN056,N/A,N/A
P058,CRP061,N/A,Seablad,N/A,Seablad,CRN057,N/A,N/A
P059,CRP062,N/A,Sesugill,N/A,Sesugill,CRN058,N/A,N/A
P060,CRP063,N/A,Westreflacna,N/A,Westreflacna,CRN059,N/A,N/A
P061,CRP064,N/A,Witgils,N/A,Witgils,CRN060,N/A,N/A
P062,CRP065,N/A,Uskfrea,N/A,Uskfrea,CRN061,N/A,N/A
P063,CRP066,N/A,Molimitius,N/A,Mumultius,CRN206,CRC031,N/A
P064,CRP067,N/A,Widat,N/A,Widat,CRN063,N/A,N/A
P065,CRP068,N/A,Weremund,N/A,Weremund,CRN064,N/A,N/A
P066,CRP069,N/A,Offa,N/A,Offa,CRN065,CRC063,N/A
P067,CRP070,N/A,Angelthen,N/A,Angelthen,CRN066,N/A,N/A
P068,CRP071,N/A,Comer,N/A,Comer,CRN067,N/A,N/A
P069,CRP072,N/A,Yall,N/A,Yall,CRN068,N/A,N/A
P070,CRP073,N/A,Kniwa,N/A,Kniwa,CRN069,N/A,N/A
P071,CRP074,N/A,Singwald,N/A,Singwald,CRN070,N/A,N/A
P072,CRP075,N/A,Ostha,N/A,Ostha,CRN289,N/A,N/A
P073,CRP076,N/A,Wibert,N/A,Wibert,CRN299,N/A,N/A
P074,CRP077,N/A,Saxnad,N/A,Saxony,CRN073,N/A,N/A
P075,CRP078,N/A,Andesk,N/A,Andesk,CRN074,N/A,N/A
P076,CRP079,N/A,Gefat,N/A,Gefat,CRN075,N/A,N/A
P077,CRP080,N/A,Spezwe,N/A,Spezwe,CRN076,N/A,N/A
P078,CRP081,N/A,Sigewolf,N/A,Sigewolf,CRN077,N/A,N/A
P079,CRP082,N/A,Reidkan,N/A,Reidkan,CRN078,N/A,N/A
P080,CRP083,N/A,Offe,N/A,Offe,CRN079,N/A,N/A
P081,CRP084,N/A,Uffa,N/A,Uffa,CRN307,N/A,N/A
P082,CRP085,N/A,Beldec,N/A,Beldec,CRN081,N/A,N/A
P083,CRP086,N/A,Brand,N/A,Brand,CRN082,N/A,N/A
P084,CRP087,N/A,Beonok,N/A,Benok,CRN083,N/A,N/A
P085,CRP088,N/A,Alek,N/A,Alek,CRN084,N/A,N/A
P086,CRP089,N/A,Angenwyt,N/A,Angenwyt,CRN085,N/A,N/A
P087,CRP090,N/A,Ingwyn,N/A,Ingwyn,CRN086,N/A,N/A
P088,CRP091,N/A,Esee,N/A,Esee,CRN087,N/A,N/A
