ROLL,ZONE,COMMENTARY,ROUNDEL,SECTOR,LINE
Canterbury Roll,CRZ001,null,CRN001,center,lineal central
Canterbury Roll,CRZ002,null,CRN002,left center,nonlineal central
Canterbury Roll,CRZ003,null,CRN003,right center,nonlineal central
Canterbury Roll,CRZ004,null,CRN004,right center,nonlineal central
Canterbury Roll,CRZ005,null,CRN005,right center,nonlineal central
Canterbury Roll,CRZ006,null,CRN006,center,lineal central
Canterbury Roll,CRZ007,null,CRN007,left center,lineal japhet
Canterbury Roll,CRZ008,null,CRN008,left center,lineal japhet
Canterbury Roll,CRZ009,null,CRN009,left center,lineal japhet
Canterbury Roll,CRZ010,null,CRN010,left center,lineal japhet
Canterbury Roll,CRZ011,null,CRN011,left center,lineal japhet
Canterbury Roll,CRZ012,null,CRN012,left center,lineal japhet
Canterbury Roll,CRZ013,null,CRN013,left center,lineal japhet
Canterbury Roll,CRZ014,null,CRN014,left center,lineal japhet
Canterbury Roll,CRZ015,null,CRN015,left center,lineal japhet
Canterbury Roll,CRZ016,null,CRN016,left center,lineal japhet
Canterbury Roll,CRZ017,null,CRN017,left center,lineal japhet
Canterbury Roll,CRZ018,null,CRN018,left center,lineal japhet
Canterbury Roll,CRZ019,null,CRN019,left center,lineal japhet
Canterbury Roll,CRZ020,null,CRN020,left center,lineal japhet
Canterbury Roll,CRZ021,null,CRN021,left center,lineal japhet
Canterbury Roll,CRZ022,null,CRN022,left center,lineal japhet
Canterbury Roll,CRZ023,null,CRN023,left center,lineal japhet
Canterbury Roll,CRZ024,null,CRN024,left center,lineal japhet
Canterbury Roll,CRZ025,null,CRN025,left center,lineal japhet
Canterbury Roll,CRZ026,null,CRN026,left center,lineal japhet
Canterbury Roll,CRZ027,null,CRN027,left center,lineal japhet
Canterbury Roll,CRZ028,null,CRN028,left center,lineal japhet
Canterbury Roll,CRZ029,null,CRN029,left center,lineal japhet
Canterbury Roll,CRZ030,null,CRN030,left center,lineal japhet
Canterbury Roll,CRZ031,null,CRN031,left center,lineal japhet
Canterbury Roll,CRZ032,null,CRN032,left center,lineal japhet
Canterbury Roll,CRZ033,null,CRN033,left center,lineal japhet
Canterbury Roll,CRZ034,null,CRN034,left center,lineal japhet
Canterbury Roll,CRZ035,null,CRN035,left center,lineal japhet
Canterbury Roll,CRZ036,null,CRN036,left center,lineal japhet
Canterbury Roll,CRZ037,null,CRN037,left center,lineal japhet
Canterbury Roll,CRZ038,null,CRN038,left center,lineal japhet
Canterbury Roll,CRZ039,null,CRN039,left center,lineal japhet
Canterbury Roll,CRZ040,null,CRN040,left center,lineal japhet
Canterbury Roll,CRZ041,null,CRN041,left center,lineal japhet
Canterbury Roll,CRZ042,null,CRN042,left center,lineal japhet
Canterbury Roll,CRZ043,null,CRN043,left center,lineal japhet
Canterbury Roll,CRZ044,null,CRN044,left center,lineal japhet
Canterbury Roll,CRZ045,null,CRN045,left center,lineal japhet
Canterbury Roll,CRZ046,null,CRN046,left center,lineal japhet
Canterbury Roll,CRZ047,null,CRN047,left center,lineal japhet
Canterbury Roll,CRZ048,null,CRN048,left center,lineal japhet
Canterbury Roll,CRZ049,null,CRN049,left center,lineal japhet
Canterbury Roll,CRZ050,null,CRN050,left center,lineal japhet
Canterbury Roll,CRZ051,null,CRN051,left center,lineal heptarchy
Canterbury Roll,CRZ052,null,CRN052,left center,lineal heptarchy
Canterbury Roll,CRZ053,null,CRN053,left center,lineal heptarchy
Canterbury Roll,CRZ054,null,CRN054,left center,lineal heptarchy
Canterbury Roll,CRZ055,null,CRN055,left center,lineal heptarchy
Canterbury Roll,CRZ056,null,CRN056,left center,lineal heptarchy
Canterbury Roll,CRZ057,null,CRN057,left center,lineal heptarchy
Canterbury Roll,CRZ058,null,CRN058,left center,lineal heptarchy
Canterbury Roll,CRZ059,null,CRN059,left center,lineal heptarchy
Canterbury Roll,CRZ060,null,CRN060,left center,lineal heptarchy
Canterbury Roll,CRZ061,null,CRN061,left center,lineal heptarchy
Canterbury Roll,CRZ062,null,CRN062,left center,lineal heptarchy
Canterbury Roll,CRZ063,null,CRN063,left center,lineal heptarchy
Canterbury Roll,CRZ064,null,CRN064,left center,lineal heptarchy
Canterbury Roll,CRZ065,null,CRN065,left center,lineal heptarchy
Canterbury Roll,CRZ066,null,CRN066,left center,lineal heptarchy
Canterbury Roll,CRZ067,null,CRN067,left center,lineal heptarchy
Canterbury Roll,CRZ068,null,CRN068,left center,lineal heptarchy
Canterbury Roll,CRZ069,null,CRN069,left center,lineal heptarchy
Canterbury Roll,CRZ070,null,CRN070,left center,lineal heptarchy
Canterbury Roll,CRZ071,null,CRN071,left center,nonlineal heptarchy
Canterbury Roll,CRZ072,null,CRN072,left center,lineal heptarchy
Canterbury Roll,CRZ073,null,CRN073,left center,lineal heptarchy
Canterbury Roll,CRZ074,null,CRN074,left center,lineal heptarchy
Canterbury Roll,CRZ075,null,CRN075,left center,lineal heptarchy
Canterbury Roll,CRZ076,null,CRN076,left center,lineal heptarchy
Canterbury Roll,CRZ077,null,CRN077,left center,lineal heptarchy
Canterbury Roll,CRZ078,null,CRN078,left center,lineal heptarchy
Canterbury Roll,CRZ079,null,CRN079,left center,lineal heptarchy
Canterbury Roll,CRZ080,null,CRN080,left center,lineal heptarchy
Canterbury Roll,CRZ081,null,CRN081,left center,lineal heptarchy
Canterbury Roll,CRZ082,null,CRN082,left center,lineal heptarchy
Canterbury Roll,CRZ083,null,CRN083,left center,lineal heptarchy
Canterbury Roll,CRZ084,null,CRN084,left center,lineal heptarchy
Canterbury Roll,CRZ085,null,CRN085,left center,lineal heptarchy
Canterbury Roll,CRZ086,null,CRN086,left center,lineal heptarchy
Canterbury Roll,CRZ087,null,CRN087,left center,lineal heptarchy
Canterbury Roll,CRZ088,null,CRN088,left center,lineal heptarchy
Canterbury Roll,CRZ089,null,CRN089,left center,lineal heptarchy
Canterbury Roll,CRZ090,null,CRN090,left center,lineal heptarchy
Canterbury Roll,CRZ091,null,CRN091,center,lineal central
Canterbury Roll,CRZ092,null,CRN092,center,lineal central
Canterbury Roll,CRZ093,null,CRN093,center,lineal central
Canterbury Roll,CRZ094,null,CRN094,center,lineal central
Canterbury Roll,CRZ095,null,CRN095,center,lineal central
Canterbury Roll,CRZ096,null,CRN096,center,lineal central
Canterbury Roll,CRZ097,null,CRN097,center,lineal central
Canterbury Roll,CRZ098,null,CRN098,center,lineal central
Canterbury Roll,CRZ099,null,CRN099,center,lineal central
Canterbury Roll,CRZ100,null,CRN100,center,lineal central
Canterbury Roll,CRZ101,null,CRN101,right center,nonlineal central
Canterbury Roll,CRZ102,null,CRN105,right center,nonlineal central
Canterbury Roll,CRZ103,null,CRN102,right center,nonlineal central
Canterbury Roll,CRZ104,null,CRN103,right center,nonlineal central
Canterbury Roll,CRZ105,null,CRN104,center,lineal central
Canterbury Roll,CRZ106,null,CRN106,center,lineal central
Canterbury Roll,CRZ107,null,CRN107,center,lineal central
Canterbury Roll,CRZ108,null,CRN108,center,lineal central
Canterbury Roll,CRZ109,null,CRN109,right center,nonlineal central
Canterbury Roll,CRZ110,null,CRN110,right center,nonlineal central
Canterbury Roll,CRZ111,null,CRN111,right center,nonlineal central
Canterbury Roll,CRZ112,null,CRN112,right center,nonlineal central
Canterbury Roll,CRZ113,null,CRN113,center,lineal central
Canterbury Roll,CRZ114,null,CRN114,center,lineal central
Canterbury Roll,CRZ115,null,CRN115,center,lineal central
Canterbury Roll,CRZ116,null,CRN116,center,nonlineal central
Canterbury Roll,CRZ117,null,CRN117,right center,lineal welsh
Canterbury Roll,CRZ118,null,CRN118,right center,lineal welsh
Canterbury Roll,CRZ119,null,CRN119,right center,lineal welsh
Canterbury Roll,CRZ120,null,CRN120,right center,lineal welsh
Canterbury Roll,CRZ121,null,CRN121,right center,lineal welsh
Canterbury Roll,CRZ122,null,CRN122,right center,lineal welsh
Canterbury Roll,CRZ123,null,CRN123,right center,lineal welsh
Canterbury Roll,CRZ124,null,CRN124,right center,lineal welsh
Canterbury Roll,CRZ125,null,CRN125,right center,lineal welsh
Canterbury Roll,CRZ126,null,CRN126,right center,lineal welsh
Canterbury Roll,CRZ127,null,CRN127,right center,lineal welsh
Canterbury Roll,CRZ128,null,CRN128,right center,lineal welsh
Canterbury Roll,CRZ129,null,CRN129,right center,lineal welsh
Canterbury Roll,CRZ130,null,CRN130,right center,lineal welsh
Canterbury Roll,CRZ131,null,CRN131,right center,lineal welsh
Canterbury Roll,CRZ132,null,CRN132,right center,lineal welsh
Canterbury Roll,CRZ133,null,CRN133,right center,lineal welsh
Canterbury Roll,CRZ134,null,CRN134,right center,lineal welsh
Canterbury Roll,CRZ135,null,CRN135,right center,lineal welsh
Canterbury Roll,CRZ136,null,CRN136,right center,lineal welsh
Canterbury Roll,CRZ137,null,CRN137,right center,lineal welsh
Canterbury Roll,CRZ138,null,CRN138,right center,lineal welsh
Canterbury Roll,CRZ139,null,CRN139,right center,lineal welsh
Canterbury Roll,CRZ140,null,CRN140,right center,lineal welsh
Canterbury Roll,CRZ141,null,CRN141,right center,lineal welsh
Canterbury Roll,CRZ142,null,CRN142,right center,lineal welsh
Canterbury Roll,CRZ143,null,CRN143,right center,lineal welsh
Canterbury Roll,CRZ144,null,CRN144,right center,lineal welsh
Canterbury Roll,CRZ145,null,CRN145,right center,lineal welsh
Canterbury Roll,CRZ146,null,CRN146,right center,lineal welsh
Canterbury Roll,CRZ147,null,CRN147,right center,lineal welsh
Canterbury Roll,CRZ148,null,CRN148,right center,lineal welsh
Canterbury Roll,CRZ149,null,CRN149,right center,lineal welsh
Canterbury Roll,CRZ150,null,CRN150,right center,lineal welsh
Canterbury Roll,CRZ151,null,CRN151,right center,lineal welsh
Canterbury Roll,CRZ152,null,CRN152,right center,lineal welsh
Canterbury Roll,CRZ153,null,CRN153,right center,lineal welsh
Canterbury Roll,CRZ154,null,CRN154,right center,lineal welsh
Canterbury Roll,CRZ155,null,CRN155,right center,lineal welsh
Canterbury Roll,CRZ156,null,CRN156,right center,lineal welsh
Canterbury Roll,CRZ157,null,CRN157,right center,lineal welsh
Canterbury Roll,CRZ158,null,CRN158,right center,lineal welsh
Canterbury Roll,CRZ159,null,CRN159,right center,lineal welsh
Canterbury Roll,CRZ160,null,CRN160,right center,lineal welsh
Canterbury Roll,CRZ161,null,CRN161,right center,lineal welsh
Canterbury Roll,CRZ162,null,CRN162,right center,lineal welsh
Canterbury Roll,CRZ163,null,CRN163,right center,lineal welsh
Canterbury Roll,CRZ164,null,CRN164,right center,lineal welsh
Canterbury Roll,CRZ165,null,CRN165,right center,lineal welsh
Canterbury Roll,CRZ166,null,CRN166,right center,lineal welsh
Canterbury Roll,CRZ167,null,CRN167,right center,lineal welsh
Canterbury Roll,CRZ168,null,CRN168,right center,lineal welsh
Canterbury Roll,CRZ169,null,CRN169,right center,nonlineal welsh
Canterbury Roll,CRZ170,null,CRN170,right center,nonlineal welsh
Canterbury Roll,CRZ171,null,CRN171,right center,nonlineal welsh
Canterbury Roll,CRZ172,null,CRN172,right center,nonlineal welsh
Canterbury Roll,CRZ173,null,CRN173,right center,lineal welsh
Canterbury Roll,CRZ174,null,CRN174,right center,lineal welsh
Canterbury Roll,CRZ175,null,CRN175,right center,lineal welsh
Canterbury Roll,CRZ176,null,CRN176,right center,lineal welsh
Canterbury Roll,CRZ177,null,CRN177,right center,lineal welsh
Canterbury Roll,CRZ178,null,CRN178,right center,lineal welsh
Canterbury Roll,CRZ179,null,CRN179,right center,lineal welsh
Canterbury Roll,CRZ180,null,CRN180,right center,lineal welsh
Canterbury Roll,CRZ181,null,CRN181,right center,lineal welsh
Canterbury Roll,CRZ182,null,CRN182,right center,lineal welsh
Canterbury Roll,CRZ183,null,CRN183,right center,lineal welsh
Canterbury Roll,CRZ184,null,CRN184,right center,lineal welsh
Canterbury Roll,CRZ185,null,CRN185,center,lineal central
Canterbury Roll,CRZ186,null,CRN186,center,lineal central
