ROUNDEL,TRANSCRIPTION,TRANSLATION,NUMBER_OF_LINES,REND
CRN001,"[#1] [1] [Image of a ship], [Noah], [2] [Superimposed red rose]","[1] [Image of a ship], [Noah], [2] [Superimposed red rose]",1,decorated
CRN002,[#1] Sem,Shem,1,brown-double
CRN003,[#1] Cham,Ham,1,brown-double
CRN004,[#1] Chus,Cush,1,brown-double
CRN005,[#1] Nemroth,Nimrod,1,brown-double
CRN006,[#1] Japhet,Japhet,1,brown-double
CRN007,[#1] Strephus,Strephus,1,brown-double
CRN008,[#1] Bedegius,Bedegius,1,brown-double
CRN009,[#1] Gnala,Gnala,1,brown-double
CRN010,[#1] Kadra,Kadra,1,brown-double
CRN011,[#1] Sternodius,Sternodius,1,"[1] brown-double, [2] decorated"
CRN012,[#1] Steph,Steph,1,brown-double
CRN013,[#1] Steldius,Steldius,1,brown-double
CRN014,[#1] Boerinus,Boerin,1,"[1] brown-double, [2] decorated"
CRN015,[#1] Cinrincius,Cinrincius,1,brown-double
CRN016,[#1] Gothus,Gothus,1,brown-double
CRN017,[#1] Iutus,Jutus,1,brown-double
CRN018,[#1] Wanda- [#2] lus,Vandalus,2,brown-double
CRN019,[#1] Thetus,Thetus,1,brown-double
CRN020,[#1] Fresus,Fresus,1,brown-double
CRN021,[#1] Suethe- [#2] dus,Suethedus,2,brown-double
CRN022,[#1] Dachus,Dachus,1,brown-double
CRN023,[#1] Geate,Geate,1,brown-double
CRN024,[#1] Godulphus,Godulphus,1,brown-double
CRN025,[#1] Finnius,Finnius,1,brown-double
CRN026,[#1] Fridala- [#2] sius,Fridalasius,2,brown-double
CRN027,[#1] Fridewal- [#2] dus,Fridewaldus,2,brown-double
CRN028,[#1] Godenus,Godenus,1,brown-double
CRN029,[#1] Beldegi- [#2] us,Beldegius,2,brown-double
CRN030,[#1] Beymun- [#2] dus,Beymundus,2,brown-double
CRN031,[#1] Fridega- [#2] rius,Fridegarius,2,brown-double
CRN032,[#1] Fridewy- [#2] nus,Fridewynus,2,brown-double
CRN033,[#1] Winegius,Winegius,1,brown-double
CRN034,[#1] Gywis,Gywis,1,brown-double
CRN035,[#1] Eslius,Eslius,1,brown-double
CRN036,[#1] Elesius,Elesius,1,brown-double
CRN037,[#1] Cerdius,Cerdius,1,brown-double
CRN038,[#1] Cealinus,Cealinus,1,brown-double
CRN039,[#1] Guda,Guda,1,brown-double
CRN040,[#1] Gewaldus,Gewaldus,1,brown-double
CRN041,[#1] Kenardus,Kenardus,1,brown-double
CRN042,[#1] Ingils,Ingils,1,brown-double
CRN043,[#1] Orpa,Orpa,1,brown-double
CRN044,[#1] Caphe,Caphe,1,brown-double
CRN045,[#1] Jetha et [#2] Geatha,JethaÂ andÂ Geatha,2,N/A
CRN046,[#1] Flocwall [#2] et Folcwall,FlocwallÂ andÂ Folcwall,2,N/A
CRN047,[#1] Fynn,Fynn,1,N/A
CRN048,[#1] Fredulf,Fredulf,1,N/A
CRN049,[#1] Woden,Woden,1,grey-double
CRN050,[#1] Frealaf,Frealaff,1,grey-double
CRN051,[#1] Vecta,Vecta,1,grey-double
CRN052,[#1] Victa,Victa,1,grey-double
CRN053,[#1] Widgils,Widgils,1,grey-double
CRN054,[#1] Kantia,Kent,1,"[1] grey-double, [2] rubricated"
CRN055,[#1] Wepedag,Wepedag,1,grey-double
CRN056,[#1] Sigegeag,Sigegeag,1,grey-double
CRN057,[#1] Seablad,Seablad,1,grey-double
CRN058,[#1] Sesugill,Sesugill,1,grey-double
CRN059,[#1] Westreflacna,Westreflacna,1,grey-double
CRN060,[#1] Witgils,Witgils,1,grey-double
CRN061,[#1] Uskfrea,Uskfrea,1,grey-double
CRN062,[#1] East [#2] Anglia,East Anglia,2,"[1] grey-double, [2] rubricated"
CRN063,[#1] Widat,Widat,1,grey-double
CRN064,[#1] Weremund,Weremund,1,grey-double
CRN065,[#1] Offa,Offa,1,grey-double
CRN066,[#1] Angelthen,Angelthen,1,grey-double
CRN067,[#1] Comer,Comer,1,grey-double
CRN068,[#1] Yall,Yall,1,grey-double
CRN069,[#1] Kniwa,Kniwa,1,grey-double
CRN070,[#1] Singwald,Singwald,1,grey-double
CRN071,[#1] Northum- [#2] bria,Northumbria,2,"[1] grey-double, [2] rubricated"
CRN072,[#1] Mer- [#2] ciorum,[Kingdom of the] Mercians,2,"[1] grey-double, [2] rubricated"
CRN073,[#1] Saxnad,Saxony,1,grey-double
CRN074,[#1] Andesk,Andesk,1,grey-double
