ZONE,BELOW_ZONE
CRZ001,CRZ006
CRZ003,CRZ004
CRZ004,CRZ005
CRZ006,CRZ091
CRZ007,CRZ008
CRZ008,CRZ009
CRZ009,CRZ010
CRZ010,CRZ011
CRZ011,CRZ012
CRZ012,CRZ013
CRZ013,CRZ014
CRZ014,CRZ015
CRZ015,CRZ016
CRZ016,CRZ017
CRZ017,CRZ018
CRZ018,CRZ019
CRZ019,CRZ020
CRZ020,CRZ021
CRZ021,CRZ024
CRZ022,CRZ194
CRZ024,CRZ025
CRZ025,CRZ026
CRZ026,CRZ027
CRZ027,CRZ028
CRZ028,CRZ029
CRZ029,CRZ030
CRZ030,CRZ031
CRZ031,CRZ032
CRZ032,CRZ033
CRZ033,CRZ034
CRZ034,CRZ035
CRZ035,CRZ036
CRZ036,CRZ037
CRZ037,CRZ038
CRZ038,CRZ039
CRZ039,CRZ040
CRZ040,CRZ041
CRZ041,CRZ042
CRZ042,CRZ043
CRZ043,CRZ044
CRZ044,CRZ045
CRZ045,CRZ046
CRZ046,CRZ047
CRZ047,CRZ048
CRZ048,CRZ049
CRZ049,CRZ055
CRZ050,CRZ051
CRZ051,CRZ052
CRZ052,CRZ053
CRZ053,CRZ054
CRZ054,CRZ288
CRZ055,CRZ056
CRZ056,CRZ057
CRZ057,CRZ058
CRZ058,CRZ059
CRZ059,CRZ060
CRZ060,CRZ061
CRZ061,CRZ062
CRZ062,CRZ307
CRZ063,CRZ064
CRZ071,CRZ319
CRZ072,CRZ371
CRZ073,CRZ074
CRZ074,CRZ075
CRZ075,CRZ076
CRZ076,CRZ077
CRZ077,CRZ078
CRZ078,CRZ079
CRZ079,CRZ080
CRZ080,CRZ341
CRZ081,CRZ082
CRZ082,CRZ083
CRZ083,CRZ084
CRZ084,CRZ085
CRZ085,CRZ086
CRZ086,CRZ087
CRZ087,CRZ088
CRZ088,CRZ089
CRZ089,CRZ355
CRZ090,CRZ388
CRZ091,CRZ092
CRZ092,CRZ093
CRZ093,CRZ094
CRZ094,CRZ095
CRZ095,CRZ096
CRZ096,CRZ097
CRZ097,CRZ098
CRZ098,CRZ099
CRZ099,CRZ100
