ZONE,LEFT_ZONE
CRZ003,CRZ006
CRZ004,CRZ091
CRZ005,CRZ092
CRZ006,CRZ002
CRZ019,CRZ018
CRZ020,CRZ019
CRZ021,CRZ020
CRZ022,CRZ017
CRZ055,CRZ051
CRZ062,CRZ054
CRZ063,CRZ055
CRZ066,CRZ052
CRZ068,CRZ053
CRZ072,CRZ089
CRZ073,CRZ063
CRZ074,CRZ056
CRZ075,CRZ057
CRZ076,CRZ058
CRZ077,CRZ059
CRZ078,CRZ060
CRZ079,CRZ062
CRZ079,CRZ061
CRZ080,CRZ071
CRZ081,CRZ073
CRZ082,CRZ064
CRZ083,CRZ065
CRZ084,CRZ066
CRZ085,CRZ067
CRZ086,CRZ068
CRZ087,CRZ069
CRZ088,CRZ070
CRZ089,CRZ080
CRZ090,CRZ072
CRZ091,CRZ007
CRZ092,CRZ008
CRZ096,CRZ009
CRZ099,CRZ010
CRZ100,CRZ011
CRZ103,CRZ102
CRZ106,CRZ012
CRZ109,CRZ108
CRZ110,CRZ113
CRZ111,CRZ114
CRZ113,CRZ013
CRZ118,CRZ187
CRZ121,CRZ200
CRZ122,CRZ203
CRZ123,CRZ206
CRZ126,CRZ218
CRZ129,CRZ226
CRZ131,CRZ240
CRZ135,CRZ254
CRZ136,CRZ258
CRZ138,CRZ265
CRZ140,CRZ271
CRZ143,CRZ049
CRZ144,CRZ081
CRZ145,CRZ082
CRZ147,CRZ085
CRZ148,CRZ086
CRZ149,CRZ088
CRZ150,CRZ377
CRZ150,CRZ350
CRZ151,CRZ351
CRZ152,CRZ384
CRZ153,CRZ391
CRZ154,CRZ393
CRZ156,CRZ398
CRZ157,CRZ406
CRZ158,CRZ614
CRZ159,CRZ411
CRZ160,CRZ619
CRZ160,CRZ418
CRZ161,CRZ420
CRZ162,CRZ431
CRZ163,CRZ621
CRZ164,CRZ622
CRZ168,CRZ479
CRZ169,CRZ481
CRZ170,CRZ480
CRZ171,CRZ170
CRZ172,CRZ171
CRZ173,CRZ159
CRZ176,CRZ428
CRZ177,CRZ185
CRZ179,CRZ164
CRZ181,CRZ439
CRZ183,CRZ461
CRZ184,CRZ168
CRZ185,CRZ116
CRZ187,CRZ015
CRZ188,CRZ016
CRZ189,CRZ023
CRZ190,CRZ021
CRZ197,CRZ194
CRZ198,CRZ195
CRZ205,CRZ026
CRZ207,CRZ027
CRZ216,CRZ029
CRZ226,CRZ034
CRZ229,CRZ035
CRZ231,CRZ232
CRZ232,CRZ230
CRZ234,CRZ036
CRZ236,CRZ037
CRZ238,CRZ038
CRZ240,CRZ039
CRZ243,CRZ244
CRZ247,CRZ041
CRZ252,CRZ043
CRZ254,CRZ255
CRZ255,CRZ253
CRZ258,CRZ259
CRZ259,CRZ044
CRZ261,CRZ045
CRZ265,CRZ264
CRZ267,CRZ048
CRZ274,CRZ083
CRZ275,CRZ084
CRZ276,CRZ076
CRZ278,CRZ077
CRZ279,CRZ078
CRZ280,CRZ079
CRZ281,CRZ090
CRZ282,CRZ371
CRZ287,CRZ389
CRZ310,CRZ296
CRZ318,CRZ306
CRZ319,CRZ289
CRZ320,CRZ308
CRZ322,CRZ295
CRZ323,CRZ310
CRZ324,CRZ297
CRZ327,CRZ299
