ZONE,RIGHT_ZONE
CRZ001,CRZ625
CRZ002,CRZ625
CRZ002,CRZ006
CRZ003,CRZ625
CRZ004,CRZ625
CRZ005,CRZ625
CRZ006,CRZ625
CRZ006,CRZ003
CRZ007,CRZ625
CRZ007,CRZ091
CRZ008,CRZ625
CRZ008,CRZ092
CRZ009,CRZ096
CRZ010,CRZ627
CRZ010,CRZ099
CRZ011,CRZ628
CRZ011,CRZ100
CRZ012,CRZ106
CRZ013,CRZ631
CRZ013,CRZ113
CRZ014,CRZ633
CRZ015,CRZ635
CRZ015,CRZ187
CRZ016,CRZ635
CRZ016,CRZ188
CRZ017,CRZ636
CRZ017,CRZ022
CRZ018,CRZ636
CRZ018,CRZ019
CRZ019,CRZ636
CRZ019,CRZ020
CRZ020,CRZ636
CRZ020,CRZ021
CRZ021,CRZ636
CRZ021,CRZ190
CRZ022,CRZ636
CRZ023,CRZ636
CRZ023,CRZ189
CRZ024,CRZ647
CRZ026,CRZ652
CRZ026,CRZ205
CRZ027,CRZ654
CRZ027,CRZ207
CRZ029,CRZ216
CRZ030,CRZ660
CRZ034,CRZ663
CRZ034,CRZ226
CRZ035,CRZ229
CRZ036,CRZ234
CRZ037,CRZ236
CRZ038,CRZ238
CRZ039,CRZ240
CRZ040,CRZ665
CRZ041,CRZ247
CRZ043,CRZ252
CRZ044,CRZ678
CRZ044,CRZ259
CRZ045,CRZ674
CRZ045,CRZ261
CRZ046,CRZ671
CRZ048,CRZ682
CRZ048,CRZ267
CRZ049,CRZ694
CRZ049,CRZ143
CRZ050,CRZ694
CRZ051,CRZ700
CRZ051,CRZ055
CRZ052,CRZ702
CRZ052,CRZ066
CRZ053,CRZ703
CRZ053,CRZ068
CRZ054,CRZ707
CRZ054,CRZ062
CRZ055,CRZ700
CRZ055,CRZ063
CRZ056,CRZ701
CRZ056,CRZ074
CRZ057,CRZ702
CRZ057,CRZ075
CRZ058,CRZ702
CRZ058,CRZ076
CRZ059,CRZ702
CRZ059,CRZ077
CRZ060,CRZ703
CRZ060,CRZ078
CRZ061,CRZ703
CRZ061,CRZ079
CRZ062,CRZ707
CRZ062,CRZ079
CRZ063,CRZ700
CRZ063,CRZ073
CRZ064,CRZ701
CRZ064,CRZ082
CRZ065,CRZ702
CRZ065,CRZ083
CRZ066,CRZ702
CRZ066,CRZ084
CRZ067,CRZ702
CRZ067,CRZ085
CRZ068,CRZ703
CRZ068,CRZ086
CRZ069,CRZ703
CRZ069,CRZ087
CRZ070,CRZ703
CRZ070,CRZ088
CRZ071,CRZ707
CRZ071,CRZ080
CRZ072,CRZ707
CRZ072,CRZ090
CRZ073,CRZ700
CRZ073,CRZ081
CRZ074,CRZ701
CRZ075,CRZ702
CRZ076,CRZ702
CRZ076,CRZ276
CRZ077,CRZ702
CRZ077,CRZ278
CRZ078,CRZ703
CRZ078,CRZ279
CRZ079,CRZ703
CRZ079,CRZ280
CRZ080,CRZ707
CRZ080,CRZ089
CRZ081,CRZ700
CRZ081,CRZ144
CRZ082,CRZ701
